"species","countries"
"Chalinolobus_dwyeri","AUS"
"Chalinolobus_gouldii","AUS"
"Chalinolobus_morio","AUS"
"Chalinolobus_neocaledonicus","NCL"
"Chalinolobus_nigrogriseus","AUS, IDN, PNG"
"Chalinolobus_picatus","AUS"
"Chalinolobus_tuberculatus","NZL"
"Cheiromeles_parvidens","IDN, PHL"
"Cheiromeles_torquatus","BRN, IDN, MYS, PHL, SGP, THA"
"Chilonatalus_macer","CUB"
"Chilonatalus_tumidifrons","BHS"
"Chiroderma_doriae","ARG, BOL, BRA, PRY"
"Chiroderma_improvisum","GLP, MSR"
"Chiroderma_salvini","BOL, BRA, COL, CRI, ECU, GTM, HND, MEX, NIC, PAN, PER, SLV, VEN"
"Chiroderma_trinitatum","BOL, BRA, COL, CRI, ECU, GUF, GUY, NIC, PAN, PER, SUR, TTO, VEN"
"Chiroderma_villosum","BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, VEN"
"Chiroderma_vizzotoi","BRA"
"Chironax_melanocephalus","BRN, IDN, MYS, SGP, THA"
"Choeroniscus_godmani","BLZ, BRA, COL, CRI, GTM, GUF, GUY, HND, MEX, NIC, PAN, SLV, SUR, VEN"
"Choeroniscus_minor","BOL, BRA, COL, ECU, GUF, GUY, PER, SUR, TTO, VEN"
"Choeroniscus_periosus","COL, ECU"
"Choeronycteris_mexicana","GTM, HND, MEX, SLV, USA"
"Chrotopterus_auritus","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, VEN"
"Cistugo_lesueuri","LSO, ZAF"
"Cistugo_seabrae","AGO, NAM, ZAF"
"Cloeotis_percivali","BWA, KEN, MOZ, SWZ, TZA, ZAF, ZMB, ZWE"
"Coelops_frithii","BGD, BTN, CHN, IDN, IND, KHM, LAO, MMR, MYS, NPL, SGP, THA, TWN, VNM"
"Coelops_robinsoni","IDN, MYS, PHL, THA"
"Coleura_afra","AGO, BDI, BEN, CAF, CIV, COD, COG, DJI, ERI, ETH, GHA, GIN, GNB, KEN, MDG, MOZ, NGA, RWA, SDN, SOM, SSD, TGO, TZA, UGA"
"Coleura_kibomalandy","MDG"
"Cormura_brevirostris","BOL, BRA, COL, CRI, ECU, GUF, GUY, NIC, PAN, PER, SUR, VEN"
"Corynorhinus_mexicanus","MEX"
"Corynorhinus_rafinesquii","USA"
"Corynorhinus_townsendii","CAN, MEX, USA"
"Craseonycteris_thonglongyai","MMR, THA"
"Cynomops_abrasus","ARG, BOL, BRA, COL, ECU, GUF, GUY, PER, PRY, SUR, VEN"
"Cynomops_greenhalli","BRA, COL, ECU, GUF, GUY, PAN, PER, SUR, TTO, VEN"
"Cynomops_mexicanus","BLZ, CRI, GTM, HND, MEX, NIC, SLV"
"Cynomops_milleri","BOL, BRA, COL, ECU, GUY, PER, VEN"
"Cynomops_paranus","ARG, BOL, BRA, COL, ECU, GUF, GUY, PER, PRY, SUR, VEN"
"Cynomops_planirostris","ARG, BOL, BRA, COL, ECU, GUF, GUY, PAN, PER, PRY, SUR, VEN"
"Cynopterus_brachyotis","BGD, BRN, BTN, CHN, IDN, IND, KHM, LAO, LKA, MMR, MYS, PHL, SGP, THA, VNM, Z07"
"Cynopterus_horsfieldii","BRN, IDN, MYS, SGP, THA"
"Cynopterus_luzoniensis","IDN, PHL"
"Cynopterus_minutus","BRN, IDN, MYS"
"Cynopterus_nusatenggara","IDN, TLS"
"Cynopterus_sphinx","BGD, BTN, CHN, IDN, IND, KHM, LAO, LKA, MMR, MYS, NPL, PAK, THA, TWN, VNM, Z01, Z06, Z07"
"Cynopterus_titthaecheilus","IDN, TLS"
"Cyttarops_alecto","BOL, BRA, COL, CRI, GUF, GUY, NIC, PAN, PER, SUR"
"Dermanura_anderseni","BOL, BRA, COL, ECU, PER"
"Dermanura_azteca","CRI, GTM, HND, MEX, NIC, PAN, SLV"
"Dermanura_bogotensis","BRA, COL, GUY, PER, SUR, VEN"
"Dermanura_cinerea","BRA, GUF, GUY, PER, SUR, VEN"
"Dermanura_glauca","BOL, BRA, COL, ECU, GUF, GUY, PER, SUR, TTO, VEN"
"Dermanura_gnoma","BOL, BRA, COL, ECU, GUF, GUY, PER, SUR, VEN"
"Dermanura_phaeotis","BLZ, BRA, COL, CRI, ECU, GTM, GUY, HND, MEX, NIC, PAN, PER, SLV, SUR, VEN"
"Dermanura_rava","COL, ECU, PAN, PER"
"Dermanura_rosenbergi","COL, ECU"
"Dermanura_tolteca","BLZ, COL, CRI, GTM, HND, MEX, NIC, PAN, SLV"
"Dermanura_watsoni","BLZ, COL, CRI, ECU, GTM, HND, MEX, NIC, PAN"
"Desmalopex_microleucopterus","PHL"
"Desmodus_rotundus","ARG, BLZ, BOL, BRA, CHL, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, URY, VEN"
"Diaemus_youngi","ARG, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, VEN"
"Diclidurus_albus","BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, VEN"
"Diclidurus_ingens","BRA, COL, ECU, GUY, PER, VEN"
"Diclidurus_isabella","BRA, COL, GUY, VEN"
"Diclidurus_scutatus","BRA, COL, ECU, GUF, GUY, PER, SUR, VEN"
"Diphylla_ecaudata","BLZ, BOL, BRA, COL, CRI, ECU, GTM, HND, MEX, NIC, PAN, PER, SLV, USA, VEN"
"Dobsonia_anderseni","PNG"
"Dobsonia_beauforti","IDN"
"Dobsonia_chapmani","PHL"
"Dobsonia_crenulata","IDN"
"Dobsonia_emersa","IDN"
"Dobsonia_exoleta","IDN"
"Dobsonia_inermis","PNG, SLB"
"Dobsonia_minor","AUS, IDN, PNG"
"Dobsonia_moluccensis","AUS, IDN, PNG"
"Dobsonia_pannietensis","PNG"
"Dobsonia_peronii","IDN, TLS"
"Dobsonia_praedatrix","PNG"
"Dobsonia_viridis","IDN"
"Dryadonycteris_capixaba","BRA"
"Dyacopterus_brooksi","IDN"
"Dyacopterus_rickarti","PHL"
"Dyacopterus_spadiceus","BRN, IDN, MYS, PHL, THA"
"Ectophylla_alba","CRI, HND, NIC, PAN"
"Eidolon_dupreanum","MDG"
"Eidolon_helvum","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DJI, ERI, ETH, GAB, GHA, GIN, GMB, GNB, GNQ, KEN, LBR, LSO, MLI, MOZ, MRT, MWI, NAM, NER, NGA, RWA, SAU, SDN, SEN, SLE, SSD, SWZ, TCD, TGO, TZA, UGA, YEM, ZAF, ZMB, ZWE"
"Emballonura_alecto","BRN, IDN, MYS, PHL"
"Emballonura_beccarii","IDN, PNG, SLB"
"Emballonura_dianae","IDN, PNG, SLB"
"Emballonura_furax","IDN, PNG"
"Emballonura_monticola","BRN, IDN, MMR, MYS, SGP, THA"
"Emballonura_raffrayana","IDN, PNG, SLB"
"Emballonura_semicaudata","FJI, PLW"
"Emballonura_serii","IDN, PNG"
"Enchisthenes_hartii","BOL, BRA, COL, CRI, ECU, GTM, HND, MEX, NIC, PAN, PER, SLV, TTO, VEN"
"Eonycteris_major","BRN, IDN, MYS"
"Eonycteris_robusta","PHL"
"Eonycteris_spelaea","BGD, BRN, BTN, CHN, IDN, IND, KHM, LAO, MMR, MYS, NPL, PHL, SGP, THA, TLS, VNM, Z07"
"Epomophorus_angolensis","AGO, NAM"
"Epomophorus_anselli","MWI, ZMB"
"Epomophorus_crypturus","AGO, BWA, COD, MOZ, MWI, NAM, SWZ, TZA, ZAF, ZMB, ZWE"
"Epomophorus_gambianus","BEN, BFA, CAF, CIV, CMR, COD, ETH, GHA, GIN, GMB, GNB, LBR, MLI, MRT, NER, NGA, SDN, SEN, SLE, SSD, TCD, TGO"
"Epomophorus_grandis","AGO, COD, COG"
"Epomophorus_labiatus","BDI, COD, COG, DJI, ERI, ETH, KEN, MWI, NGA, RWA, SDN, SSD, TCD, TZA, UGA"
"Epomophorus_minimus","COD, ETH, KEN, SOM, TZA, UGA"
"Epomophorus_minor","COD, ETH, KEN, MOZ, MWI, SOM, TZA, UGA, ZMB"
"Epomophorus_wahlbergi","AGO, BDI, BWA, COD, COG, GAB, GNQ, KEN, MOZ, MWI, RWA, SOM, SWZ, TZA, UGA, ZAF, ZMB, ZWE"
"Epomops_buettikoferi","BEN, BFA, CIV, GHA, GIN, GNB, LBR, NGA, SEN, SLE, TGO"
"Epomops_dobsonii","AGO, BWA, COD, MOZ, MWI, NAM, TZA, ZMB"
"Epomops_franqueti","AGO, BEN, CAF, CIV, CMR, COD, COG, GAB, GHA, GNQ, NGA, SSD, TGO, UGA, ZMB"
"Eptesicus_bobrinskoi","IRN, KAZ"
"Eptesicus_bottae","AFG, ARE, ARM, AZE, CHN, EGY, GEO, GRC, IRN, IRQ, ISR, JOR, KAZ, KGZ, KWT, LBN, OMN, PAK, PSE, RUS, SAU, SYR, TJK, TKM, TUR, UZB, XCA, YEM, Z01, Z06"
"Eptesicus_brasiliensis","ARG, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, MEX, PAN, PER, PRY, SUR, VEN"
"Eptesicus_chiriquinus","ARG, BOL, BRA, COL, ECU, GUF, GUY, PAN, PER, VEN"
"Eptesicus_diminutus","ARG, BOL, BRA, PRY, URY, VEN"
"Eptesicus_floweri","MLI, MRT, NER, SDN, SSD, TCD"
"Eptesicus_furinalis","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, URY, VEN"
"Eptesicus_fuscus","BRB, CAN, COL, CRI, CUB, DMA, DOM, GTM, HND, HTI, MEX, NIC, PAN, PRI, SLV, USA, VEN"
"Eptesicus_gobiensis","AFG, CHN, KAZ, KGZ, MNG, PAK, RUS, TJK, UZB, Z01, Z02, Z06"
"Eptesicus_guadeloupensis","GLP"
"Eptesicus_hottentotus","AGO, BWA, COD, KEN, LSO, MOZ, MWI, NAM, SWZ, ZAF, ZMB, ZWE"
"Eptesicus_innoxius","ECU, PER"
"Eptesicus_isabellinus","DZA, ESP, GIB, LBY, MAR, PRT, TUN"
"Eptesicus_japonensis","JPN"
"Eptesicus_lobatus","RUS, UKR"
"Eptesicus_nilssonii","AUT, BLR, CHE, CHN, CZE, DEU, DNK, EST, FIN, FRA, HUN, ITA, JPN, KAZ, LIE, LTU, LVA, MNG, NOR, POL, ROU, RUS, SRB, SVK, SVN, SWE, UKR"
"Eptesicus_pachyomus","AFG, CHN, IND, IRN, KOR, LAO, MMR, MNG, PAK, PRK, RUS, THA, TWN, VNM"
"Eptesicus_pachyotis","BGD, CHN, IND, MMR, NPL, THA"
"Eptesicus_serotinus","AFG, ALB, AND, ARM, AUT, AZE, BEL, BGR, BIH, BLR, CHE, CHN, CYP, CZE, DEU, DNK, ESP, FRA, GBR, GEO, GRC, HRV, HUN, IRN, IRQ, ISR, ITA, KAZ, KGZ, LAO, LBN, LIE, LTU, LUX, LVA, MCO, MDA, MKD, MMR, MNE, MNG, NLD, POL, PRT, ROU, RUS, SMR, SRB, SVK, SVN, SWE, SYR, THA, TJK, TKM, TUR, TWN, UKR, UZB, VAT, VNM, XAD, XCA, XKO, Z02, Z06, ZNC"
"Eptesicus_taddeii","BRA"
"Eptesicus_tatei","IND, NPL"
"Euderma_maculatum","CAN, MEX, USA"
"Eudiscoderma_thongareeae","THA"
"Eudiscopus_denticulus","LAO, MMR, THA, VNM"
"Eumops_auripendulus","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, JAM, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, URY, VEN"
"Eumops_bonariensis","ARG, BRA, PRY, URY"
"Eumops_dabbenei","ARG, BOL, BRA, COL, PRY, VEN"
"Eumops_delticus","BRA, COL, PER, VEN"
"Eumops_ferox","BLZ, CRI, CUB, GTM, HND, JAM, MEX, NIC, PAN, SLV"
"Eumops_glaucinus","ARG, BOL, BRA, COL, ECU, GUY, PAN, PER, PRY, VEN"
"Eumops_hansae","BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, PAN, PER, SUR, VEN"
"Eumops_maurus","BOL, BRA, COL, ECU, GUY, PER, SUR, VEN"
"Eumops_nanus","COL, CRI, ECU, GUY, HND, MEX, NIC, PAN, PER, VEN"
"Eumops_patagonicus","ARG, BOL, BRA, PRY, URY"
"Eumops_perotis","ARG, BOL, BRA, COL, MEX, PER, PRY, USA"
"Eumops_trumbulli","BOL, BRA, COL, GUF, GUY, PER, SUR, VEN"
"Eumops_underwoodi","BLZ, CRI, GTM, HND, MEX, NIC, SLV, USA"
"Eumops_wilsoni","ECU"
"Falsistrellus_mackenziei","AUS"
"Falsistrellus_petersi","IDN, MYS, PHL"
"Falsistrellus_tasmaniensis","AUS"
"Furipterus_horrens","BRA, COL, CRI, ECU, GUF, GUY, NIC, PAN, PER, SUR, TTO, VEN"
"Gardnerycteris_crenulatum","BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, SUR, TTO, VEN"
"Gardnerycteris_koepckeae","PER"
"Glauconycteris_alboguttata","CAF, CMR, COD, COG, GAB, GNQ"
"Glauconycteris_argentata","AGO, BDI, CAF, CMR, COD, COG, GAB, GNQ, KEN, MWI, RWA, TZA, UGA, ZMB"
"Glauconycteris_beatrix","AGO, CAF, CIV, CMR, COD, COG, GAB, GHA, GNQ, NGA"
"Glauconycteris_curryae","CAF, CMR, COD, COG, GAB, GNQ"
"Glauconycteris_egeria","CAF, CMR, COD, COG, UGA"
"Glauconycteris_gleni","CMR, UGA"
"Glauconycteris_humeralis","COD, KEN, UGA"
"Glauconycteris_machadoi","AGO"
"Glauconycteris_poensis","BEN, CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GNQ, LBR, NGA, SEN, SLE, TGO, TZA"
"Glauconycteris_superba","CIV, COD, GHA"
"Glauconycteris_variegata","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, ETH, GAB, GHA, GIN, GMB, GNB, KEN, MLI, MOZ, MWI, NAM, NGA, RWA, SDN, SEN, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Glischropus_bucephalus","CHN, KHM, LAO, MMR, THA, VNM"
"Glischropus_javanus","IDN"
"Glischropus_tylopus","BRN, CHN, IDN, KHM, LAO, MMR, MYS, PHL, SGP, THA, VNM"
"Glossophaga_commissarisi","BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUY, HND, MEX, NIC, PAN, PER, SLV, VEN"
"Glossophaga_leachii","CRI, GTM, HND, MEX, NIC, SLV"
"Glossophaga_longirostris","ABW, BES, BRA, COL, CUW, GRD, GUY, SUR, TTO, VCT, VEN"
"Glossophaga_morenoi","GTM, MEX"
"Glossophaga_soricina","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, JAM, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, VEN"
"Glyphonycteris_behnii","BOL, BRA, PER"
"Glyphonycteris_daviesi","BOL, BRA, COL, ECU, GUF, GUY, PER, SUR, VEN"
"Glyphonycteris_sylvestris","BOL, BRA, COL, CRI, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, SUR, TTO, VEN"
"Haplonycteris_fischeri","PHL"
"Harpiocephalus_harpia","BGD, BTN, CHN, IDN, IND, LAO, MMR, MYS, NPL, PHL, THA, TWN, VNM"
"Harpiola_grisea","IND"
"Harpiola_isodon","TWN, VNM"
"Harpyionycteris_celebensis","IDN"
"Harpyionycteris_whiteheadi","PHL"
"Hesperoptenus_blanfordi","IDN, KHM, LAO, MMR, MYS, SGP, THA, VNM"
"Hesperoptenus_doriae","MYS"
"Hesperoptenus_gaskelli","IDN"
"Hesperoptenus_tickelli","BGD, BTN, IND, KHM, LAO, LKA, MMR, NPL, THA, VNM"
"Hesperoptenus_tomesi","MYS, THA"
"Hipposideros_abae","BEN, BFA, CAF, CIV, CMR, COD, GHA, GIN, GNB, LBR, MLI, NGA, SDN, SLE, SSD, TCD, TGO, UGA"
"Hipposideros_alongensis","VNM"
"Hipposideros_armiger","BGD, BTN, CHN, IND, KHM, LAO, MMR, MYS, NPL, THA, TWN, VNM, Z07"
"Hipposideros_ater","AUS, BGD, BRN, IDN, IND, LKA, MMR, MYS, PHL, PNG, SGP, THA"
"Hipposideros_atrox","IDN, MYS, SGP, THA"
"Hipposideros_beatus","CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GNQ, LBR, NGA, SLE, TGO"
"Hipposideros_bicolor","BRN, IDN, KHM, MYS, PHL, THA, TLS"
"Hipposideros_boeadii","IDN"
"Hipposideros_breviceps","IDN"
"Hipposideros_caffer","BWA, MOZ, MWI, NAM, SWZ, ZAF, ZMB, ZWE"
"Hipposideros_calcaratus","IDN, PNG, SLB"
"Hipposideros_camerunensis","CMR"
"Hipposideros_cervinus","AUS, BRN, IDN, MYS, PHL, PNG, SGP, SLB, THA, VUT"
"Hipposideros_cineraceus","BGD, BTN, IDN, IND, KHM, LAO, MMR, MYS, NPL, PAK, SGP, THA, VNM, Z01, Z06, Z07"
"Hipposideros_coronatus","PHL"
"Hipposideros_corynophyllus","IDN, PNG"
"Hipposideros_crumeniferus","IDN, TLS"
"Hipposideros_curtus","CMR, GNQ, NGA"
"Hipposideros_cyclops","AGO, BEN, CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GMB, GNB, GNQ, KEN, LBR, NGA, SEN, SLE, SSD, TGO, TZA, UGA"
"Hipposideros_diadema","AUS, BRN, IDN, IND, KHM, LAO, MMR, MYS, PHL, PNG, SGP, SLB, THA, TLS, VNM"
"Hipposideros_dinops","PNG, SLB"
"Hipposideros_doriae","BRN, IDN, MYS, SGP"
"Hipposideros_durgadasi","IND"
"Hipposideros_dyacorum","BRN, IDN, MYS, THA"
"Hipposideros_edwardshilli","PNG"
"Hipposideros_einnaythu","MMR"
"Hipposideros_fuliginosus","CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GNQ, LBR, NGA, SLE"
"Hipposideros_fulvus","AFG, IND, LKA, NPL, PAK, Z01, Z06"
"Hipposideros_galeritus","BGD, BRN, IDN, IND, KHM, LAO, LKA, MMR, MYS, SGP, THA, VNM"
"Hipposideros_griffini","KHM, LAO, VNM"
"Hipposideros_halophyllus","MMR, THA"
"Hipposideros_inornatus","AUS"
"Hipposideros_jonesi","BEN, BFA, CIV, GHA, GIN, LBR, MLI, NGA, SLE, TGO"
"Hipposideros_khaokhouayensis","LAO, THA, VNM"
"Hipposideros_khasiana","BGD, IND"
"Hipposideros_lamottei","CIV, GIN"
"Hipposideros_lankadiva","BGD, BTN, IND, LKA, MMR, NPL"
"Hipposideros_larvatus","BGD, BTN, CHN, IDN, IND, KHM, LAO, MMR, MYS, SGP, THA, VNM"
"Hipposideros_lekaguli","MMR, MYS, PHL, THA"
"Hipposideros_lylei","CHN, LAO, MMR, MYS, THA, VNM"
"Hipposideros_macrobullatus","IDN"
"Hipposideros_madurae","IDN"
"Hipposideros_maggietaylorae","IDN, PNG"
"Hipposideros_marisae","CIV, GIN, LBR, SLE"
"Hipposideros_megalotis","DJI, ERI, ETH, KEN, SAU"
"Hipposideros_muscinus","IDN, PNG"
"Hipposideros_obscurus","PHL"
"Hipposideros_orbiculus","IDN, MYS"
"Hipposideros_papua","IDN"
"Hipposideros_pelingensis","IDN"
"Hipposideros_pendlebury","THA"
"Hipposideros_pomona","BGD, BTN, CHN, IND, KHM, LAO, MMR, MYS, NPL, THA, VNM, Z07"
"Hipposideros_pygmaeus","PHL"
"Hipposideros_ridleyi","BRN, IDN, MYS, SGP, THA"
"Hipposideros_rotalis","LAO, THA, VNM"
"Hipposideros_ruber","AGO, BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, ETH, GAB, GHA, GIN, GMB, GNB, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, RWA, SDN, SEN, SLE, SSD, TCD, TGO, TZA, UGA, ZMB"
"Hipposideros_scutinares","LAO, THA, VNM"
"Hipposideros_semoni","AUS, PNG"
"Hipposideros_sorenseni","IDN"
"Hipposideros_speoris","IND, LKA"
"Hipposideros_stenotis","AUS"
"Hipposideros_tephrus","GMB, MAR, MLI, SEN, YEM"
"Hipposideros_turpis","JPN"
"Hipposideros_wollastoni","IDN, PNG"
"Histiotus_humboldti","BRA, COL, VEN"
"Histiotus_laephotis","ARG, BOL, CHL, PER, PRY"
"Histiotus_macrotus","ARG, CHL"
"Histiotus_magellanicus","ARG, CHL"
"Histiotus_montanus","ARG, BOL, CHL, COL, ECU, PAN, PER, VEN"
"Histiotus_velatus","ARG, BOL, BRA, PER, PRY"
"Hylonycteris_underwoodi","BLZ, CRI, GTM, HND, MEX, NIC, PAN"
"Hypsignathus_monstrosus","AGO, BEN, BFA, CAF, CIV, CMR, COD, COG, ETH, GAB, GHA, GIN, GNB, GNQ, KEN, LBR, MLI, NGA, SLE, SSD, TGO, UGA"
"Hypsugo_affinis","BGD, BTN, CHN, IND, LKA, MMR, NPL, THA, VNM, Z07"
"Hypsugo_alaschanicus","CHN, JPN, KOR, MNG, PRK, RUS"
"Hypsugo_anthonyi","CHN, MMR"
"Hypsugo_arabicus","ARE, OMN"
"Hypsugo_ariel","EGY, ISR, JOR, PSE, SAU, YEM"
"Hypsugo_bemainty","MDG"
"Hypsugo_cadornae","CHN, IND, KHM, LAO, MMR, THA, VNM"
"Hypsugo_dolichodon","KHM, LAO, MMR, THA, VNM"
"Hypsugo_eisentrauti","CMR"
"Hypsugo_joffrei","IND, MMR"
"Hypsugo_kitcheneri","IDN"
"Hypsugo_lanzai","YEM"
"Hypsugo_lophurus","MMR"
"Hypsugo_macrotis","IDN, MYS"
"Hypsugo_musciculus","CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, SLE"
"Hypsugo_pulveratus","CHN, LAO, MMR, THA, VNM"
"Hypsugo_savii","AFG, ALB, AND, ARM, AUT, AZE, BGR, BIH, CHE, CHN, CYP, DZA, ESP, FRA, GEO, GIB, GRC, HRV, HUN, IND, IRN, IRQ, ISR, ITA, JOR, KAZ, KGZ, LBN, LIE, MAR, MCO, MKD, MNE, PAK, PRT, ROU, RUS, SMR, SRB, SVK, SVN, SYR, TJK, TKM, TUN, TUR, UKR, UZB, VAT, XAD, XCA, XKO, Z01, Z06, ZNC"
"Hypsugo_vordermanni","BRN, IDN, MYS"
"Ia_io","BGD, CHN, IND, LAO, MMR, NPL, THA, VNM, Z07"
"Idionycteris_phyllotis","MEX, USA"
"Kerivoula_africana","TZA"
"Kerivoula_agnella","PNG"
"Kerivoula_argentata","AGO, BDI, COD, KEN, MOZ, MWI, NAM, RWA, TZA, ZAF, ZMB, ZWE"
"Kerivoula_cuprosa","CAF, CIV, CMR, COD, COG, GAB, GIN, LBR"
"Kerivoula_flora","IDN, LAO, MYS, VNM"
"Kerivoula_hardwickii","BRN, CHN, IDN, KHM, LAO, MMR, MYS, PHL, SGP, THA, VNM"
"Kerivoula_intermedia","BRN, IDN, MYS, SGP, THA"
"Kerivoula_kachinensis","CHN, KHM, LAO, MMR, THA, VNM"
"Kerivoula_krauensis","BRN, IDN, MYS, THA"
"Kerivoula_lanosa","AGO, BDI, BEN, BWA, CAF, CIV, CMR, COD, COG, ETH, GAB, GHA, GIN, GNQ, KEN, LBR, LSO, MOZ, MWI, NAM, NGA, RWA, SLE, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Kerivoula_lenis","BGD, IDN, IND, MYS, SGP"
"Kerivoula_minuta","BRN, IDN, MYS, THA"
"Kerivoula_muscina","PNG"
"Kerivoula_myrella","IDN, PNG"
"Kerivoula_papillosa","BRN, IDN, KHM, LAO, MYS, SGP, THA, VNM"
"Kerivoula_pellucida","BRN, IDN, MYS, PHL, SGP, THA"
"Kerivoula_phalaena","CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, LBR, RWA, TZA, UGA"
"Kerivoula_picta","BGD, BTN, CHN, IDN, IND, KHM, LAO, LKA, MMR, MYS, NPL, SGP, THA, VNM"
"Kerivoula_smithii","CMR, COD, COG, GAB, GNQ, KEN, UGA"
"Kerivoula_titania","CHN, KHM, LAO, MMR, THA, TWN, VNM"
"Kerivoula_whiteheadi","BRN, IDN, MYS, PHL, THA"
"Laephotis_angolensis","AGO, COD, ZMB"
"Laephotis_botswanae","AGO, BWA, COD, MOZ, MWI, NAM, TZA, ZAF, ZMB, ZWE"
"Laephotis_namibensis","NAM, ZAF"
"Laephotis_wintoni","COD, ETH, KEN, LSO, MOZ, MWI, SSD, TZA, UGA, ZAF, ZMB, ZWE"
"Lampronycteris_brachyotis","BLZ, BRA, COL, CRI, ECU, GTM, GUF, GUY, MEX, NIC, PAN, PER, SUR, TTO, VEN"
"Lasionycteris_noctivagans","CAN, MEX, USA"
"Lasiurus_atratus","BRA, GUF, GUY, SUR, VEN"
"Lasiurus_blossevillii","ARG, BLZ, BOL, BRA, CAN, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, URY, USA, VEN"
"Lasiurus_borealis","CAN, MEX, TCA, USA"
"Lasiurus_castaneus","BRA, COL, CRI, PAN"
"Lasiurus_cinereus","ARG, BOL, BRA, CAN, CHL, COL, CRI, ECU, GTM, MEX, PAN, PER, PRY, URY, USA, VEN"
"Lasiurus_degelidus","JAM"
"Lasiurus_ebenus","BRA"
"Lasiurus_ega","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, URY, USA, VEN"
"Lasiurus_egregius","BRA, COL, PAN"
"Lasiurus_insularis","CUB"
"Lasiurus_intermedius","BLZ, CRI, GTM, HND, MEX, SLV, USA"
"Lasiurus_minor","BHS, DOM, HTI, PRI"
"Lasiurus_salinae","ARG, BRA, URY"
"Lasiurus_seminolus","MEX, USA"
"Lasiurus_varius","ARG, CHL"
"Lasiurus_xanthinus","MEX, USA"
"Latidens_salimalii","IND"
"Lavia_frons","BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, ERI, ETH, GAB, GHA, GIN, GMB, GNB, GNQ, KEN, MLI, MOZ, MRT, MWI, NER, NGA, RWA, SDN, SEN, SLE, SOM, SSD, TCD, TGO, TZA, UGA, ZMB"
"Leptonycteris_curasoae","ABW, BES, COL, CUW, VEN"
"Leptonycteris_nivalis","MEX, USA"
"Leptonycteris_yerbabuenae","GTM, HND, MEX, SLV, USA"
"Lichonycteris_degener","BOL, BRA, COL, ECU, GUF, GUY, PER, SUR, VEN"
"Lichonycteris_obscura","BLZ, COL, CRI, ECU, GTM, HND, MEX, NIC, PAN"
"Lionycteris_spurrelli","BOL, BRA, COL, ECU, GUF, GUY, PAN, PER, SUR, VEN"
"Lissonycteris_angolensis","AGO, BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, ETH, GAB, GHA, GIN, GMB, GNB, GNQ, KEN, LBR, MLI, MOZ, MWI, NGA, RWA, SDN, SEN, SLE, SSD, TCD, TGO, TZA, UGA, ZMB, ZWE"
"Lonchophylla_bokermanni","BRA"
"Lonchophylla_cadenai","COL, ECU"
"Lonchophylla_chocoana","COL, ECU"
"Lonchophylla_concava","COL, CRI, ECU, PAN"
"Lonchophylla_dekeyseri","BRA"
"Lonchophylla_fornicata","COL, ECU"
"Lonchophylla_handleyi","ECU, PER"
